index,url,title,text,origin
0,,تفاصيل آخر اللحظات بحياة ماجدة.. وسبب تأجيل إعلان وفاتها ,"
الفنانة المصرية، ماجدة الصباحي، عن عالمنا قبل أسبوعين، لتترك خلفها تاريخاً سينمائياً كبيراً جعلها واحدة من نجمات الوطن العربي., الفنانة التي ابتعدت عن الفن والتمثيل طيلة السنوات الماضية، كان الجمهور يشتاق لمعرفة أخبارها وجديدها في ظل القصص التي نشرت عن حياتها هي وابنتها غادة نافع., الابنة التي أطلت في لقاء تلفزيوني بعد رحيل والدتها من أجل الحديث عن جزء من تاريخها، وكشفت تفاصيل اللحظات الأخيرة في حياتها، مؤكدة أن ماجدة لم تكن تعاني من أزمة صحية، وإنما بحكم تقدمها في السن كانت تعاني من هشاشة العظام لذلك كانت ابنتها حريصة على ألا تسقط كي لا تتعرض عظامها للكسر., مشيرة إلى أنها حينما توفيت والدتها لم تكن في حالتها الطبيعية، ولم تعرف كيف وصل الخبر إلى وسائل الإعلام، لأنها طلبت من الجميع عدم الحديث عن هذا الأمر، وكانت تظن أن حالة إغماء أصابت والدتها وستعود إلى وعيها بعد ذلك., مؤكدة أن ماجدة كانت تضع جهازا لتنظيم ضربات القلب، وتتعاطى دواء الضغط بانتظام، وكانت في صحة جيدة للغاية، وحينما أخبروها وهي في الطابق العلوي أن والدتها سقطت على الأرض سارعت إليها على الفور وحاولت أن تحملها إلا أنها لم تتمكن فساعدها زوجها., وكشفت غادة نافع أنها كانت تعامل والدتها كابنة وليس كأم، وطلبت منها النهوض قائلة ""قومي يا حبيبتي تعالي معايا.. اوعي تدوخي""، خاصة أن ماجدة كانت تنظر إليها., وهو ما جعلها تفكر في جعلها مستيقظة حتى لا تدخل في غيبوبة أو إغماء، وبعدها وضعت قدمها في وضع معتدل ثم قامت بتقبيل القدم واليد، فما كان من والدتها سوى النظر إليها قبل أن تفارق الحياة في هدوء وسلام.",ANAD
1,,قصة مرض أجبر محمود ياسين على الاعتزال والبقاء بالمنزل ,"
جديدة من أوراق الفن العربي سقطت، برحيل الفنان المصري محمود ياسين في الساعات الأولى من صباح الأربعاء عن عمر يناهز الـ 79، وذلك بعد معاناة مع المرض استمرت طيلة سنواته الأخيرة., محمود ياسين الذي قدم خلال مسيرته الفنية التي استمرت لأكثر من 40 عاما، ما يزيد عن 250 عملا فنيا، كان واحدا من نجوم الصف الأول بالوطن العربي., إلا أن سنواته الأخيرة شهدت ابتعادا إجباريا عن الوسط الفني والجمهور، تلك القصة التي بدأت قبل نحو 6 سنوات، حينما أعلن عن خبر هام يفيد باجتماع الزعيم عادل إمام مع صديقه محمود ياسين في مسلسل ""صاحب السعادة""., ذلك الخبر الذي استحوذ على انتباه الجميع، مع ترقب لما سيظهره الثنائي في عمل منتظر، قبل أن يعلن بشكل مفاجئ عن فسخ التعاقد بين محمود ياسين والجهة المنتجة، وهو ما تسبب في خروج أقاويل حول وجود خلافات بين عادل إمام ومحمود ياسين، إلا أن الرواية التي خرجت وكانت قريبة من الحقيقة جاءت صادمة. محمود ياسين لم يعد قادرا على التمثيل بسبب مقدمات مرض الزهايمر، حيث قيل إنه لم يعد قادرا على حفظ النص، والوقوف أمام الكاميرا لاسترجاع الكلمات، وهو ما يعني استحالة تقديم العمل في وجوده، ما تسبب في إنهاء التعاقد مع الحفاظ على قيمة النجم الكبير أمام محبيه., سريعا خرج النفي من قبل العائلة حول هذه الرواية الصادمة، خاصة أن ياسين كان قبل عامين مشاركا في فيلم ""جدو حبيبي""، إلا أن هذا لم يكن كافيا بسبب الابتعاد الشديد لياسين عن الوسط الفني., لم تكن هذه هي الواقعة الوحيدة، حيث تكرر الأمر في إحدى دورات مهرجان الإسكندرية السينمائي، حينما روى البعض واقعة قيل إنها حدثت في كواليس المهرجان., بعدما التقت إلهام شاهين بمحمود ياسين وصافحته، ولكنه لم يتمكن من تذكرها أمام بعض الحضور، وهو ما جعل الشك يتسرب إلى الجميع أن الأخبار التي انتشرت حقيقية., وكالعادة لم يرد من العائلة سوى النفي، وظهر بعدها محمود ياسين في جنازة الراحل محمود عبد العزيز، كما شارك في العزاء، مستندا إلى نجله عمرو، قبل أن يبتعد شيئا فشيئا عن الوسط الفني، وبات ظهوره قاصرا على مقطع فيديو لا يتعدى ثواني يقدم من خلاله تهنئة لمحبيه., في سنوات كانت تخرج فيها تصريحات متضاربة من العائلة، حيث تقول زوجته إنه لم يعد قادرا على الوقوف أمام الكاميرات لذلك صار في وضع المعتزل، لتخرج بعدها ابنته رانيا وتؤكد أن والدها وحده من يملك حق قرار الاعتزال، وما لم يصرح به فليس من حق أحد الحديث عن الأمر وتأكيده., وفي النهاية، خرجت شهيرة قبل ما يقرب من شهرين لتعلنها للجميع ""زوجي في حالة صحية متأخرة بسبب المرض""، لم يعد قادرا على التذكر، متمنية أن تظل الحالة كما هي ولا تسوء., تلك الكلمات التي جاءت في ساعة حقيقة، ولكنها كانت مجبرة على الخروج ومحاولة إخفاء الأمر مرة أخرى، وهو ما حاول البعض تقبله، واحترام خصوصية العائلة في أن تنكر أمرا بات معلوما للجميع., حتى غادرنا ياسين بجسده بعد أيام من الاحتفال بذكرى نصر أكتوبر، وهو واحد من أهم النجوم الذين شاركوا بأعمال عن الحرب، ليظل تاريخه وتراثه الفني باقيا للجميع.",ANAD
2,,لماذا تآمرت وفاء عامر على شقيقتها آيتن في الفن؟ ,"
قوية تجمع الفنانة #وفاء_عامر بشقيقتها الصغرى آيتن، حيث تحرص دائما على دعمها في كافة خطواتها الفنية، وتقف إلى جوارها في كافة المناسبات., لكن يبدو أن هذه العلاقة القوية حملت كواليس مختلفة، تحدثت عنها آيتن عامر في لقائها مع الفنانة #إسعاد_يونس ببرنامجها، مشيرة إلى كونها كانت دائما تختبئ في شنطة السيارة الخاصة بشقيقتها الكبرى أثناء ذهابها إلى المسرح، خاصة أن وفاء كانت ترفض اصطحابها وتطالبها بالتركيز في دراستها., وبعد اجتياز #آيتن_عامر لمرحلة الثانوية العامة وحصلت على مجموع درجات مميز، كانت رغبتها هي دخول #معهد_الفنون_المسرحية، ولكن هذه الرغبة قوبلت برفض شديد من شقيقتها وفاء، وطالبتها بدخول كلية أخرى، مع وعدها بمنحها فرصة التمثيل بعد ذلك., إلا أن نصيحة وفاء قوبلت بالرفض من جهة آيتن، التي كانت ترغب في دراسة التمثيل، وبالفعل التحقت بالمعهد وتم قبولها، وأثناء توجهها لأداء اختبار سألتها شقيقتها عن وجهتها فأخبرتها أن لديها اختباراً بالمعهد، لتدخل معها في صدام جديد وتطالبها بترك المعهد., وقتها لم ينقذ آيتن عامر سوى المنتج #محمد_فوزي زوج وفاء عامر، الذي سمح بها بالذهاب إلى المعهد، ووقتها توعدتها وفاء بألا تتركها، وهو ما تحدثت عنه آيتن بكونها شعرت أن هناك أمراً يدبر لها., وكشفت آيتن عامر عن كون اسمها الحقيقي هو ""سمر""، وهو الاسم المتواجد بالكشوف الخاصة بالمعهد، لذلك فوجئت أن البعض دخل ليسأل عن طالبة تحمل اسم ""آيتن عامر""، لكنها لم تخبرهم أنها هي من يبحثون عنها، حتى انتهت مرحلة الاختبارات وتم قبولها., وحينما أعلنت النتيجة، أخبرت آيتن شقيقتها بنجاحها لتثور عليها من جديد، وتخبرها أنها طلبت من أصدقائها مسؤولي المعهد بألا يمنحوها فرصة النجاح، ولكنها علمت بعد ذلك أنها لم تكن تخبر أحدا أنها هي من يبحثون عنها., آيتن عامر كشفت عن كونها كانت ترغب في الالتحاق بمجال الغناء، قبل أن يطالبها الفنان محمد صبحي بالتركيز في التمثيل والابتعاد عن الغناء، وهو ما استجابت له.",ANAD
3,,#مرايا.. على العقيق اجتمعنا  ,"
نرى صورة ماضينا؟, سؤال يترتب على جوابه نزاع بين أنصار هذه الصورة أو تلك، ولكن الواقع يقول إنه لا يمكن اختزال تيار من الصور في صورة فقيرة., نحن أمام مرايا للتاريخ الإسلامي لا مرآة واحدة، ومن تلك المرايا الفن والأنس والاستئناس بالشعر والجمال، وقد كتب لنا علماء دين، قبل أن يكونوا علماء أدب وشعر، عن عبق تلك الأيام في صبح التاريخ الإسلامي، عن حياة الغناء والأنس والأدب والشعر، ومن هؤلاء العلماء ابن قتيبة وابن عبد البر، وغيرهما., ومن أبرز الأماكن التي كانت موئلا للأنس والغناء والشعر والهناء، وادي العقيق، في المدينة المنورة، وهو من أشهر معالم العرب للشعر والإنشاد والغناء، وقد تردد اسمه عشرات المرات في مدونات الشعر ومقطعات الغناء منذ القديم حتى اليوم., وادي العقيق من أشهر أودية المدينة المنورة قامت على ضفافه في العصر الأموي وشطر من العصر العباسي قصور كثيرة، وتزاحم الميسورون على قطع الأراضي بجانبيه حتى لم يعد فيه موضع لمزيد من البناء والبساتين., على ضفاف هذا الوادي وجنبات العقيق كان الأوائل يخرجون ويسمرون ويتنزهون، وقد خلد الشعر والغناء في الحجاز هذا المعنى من قديم، لتصبح أغنية عابرة للحدود، بصيغ مختلفة., في هذه الحلقة من #مرايا يستعرض الزميل #مشاري_الذايدي صورة العرب التي اتحدت بصوت واحد تشدو ""على العقيق"" كل بطريقته على لهجته",ANAD
4,,هذا ما قاله محمد رمضان عن حلا شيحة ,"
أخرى تجددت الأقاويل التي تتناول علاقة الفنان محمد رمضان بزميلته حلا شيحة، التي شاركته بطولة مسلسله الأخير ""زلزال"" الذي عرض في شهر رمضان الماضي., وعادت من خلاله حلا شيحة إلى التمثيل مرة أخرى بعد اعتزال دام لسنوات طويلة، قررت أن تنهيها وتعود من جديد إلى التمثيل بعد خلعها للنقاب والحجاب., تلك الأقاويل التي خرجت للمرة الأولى حول علاقة الثنائي وقت تصوير المسلسل، وهو ما نفته حلا شيحة، مؤكدة أن رمضان صديق عزيز، وهو محب لزوجته ولا تربطها به سوى الزمالة., وثارت تلك الأقاويل هذه المرة بعدما نشرت إحدى المجلات خبرا يفيد بزواج الثنائي سرا، على أن يتم إعلان الزواج خلال الأسابيع المقبلة., وبدأت رحلة البحث عن حقيقة هذا الخبر في ظل صمت الطرفين، وتواجد محمد رمضان خارج مصر بصحبة عائلته، إلا أن البعض حاول تعزيز تلك الأقاويل بكون حلا شيحة واحدة من 3 سيدات فقط يتابعهن الحساب الرسمي لمحمد رمضان عبر ""إنستغرام""., ""العربية.نت"" تواصلت مع محمد رمضان المتواجد بالولايات المتحدة الأميركية، حيث اكتفى برسالة نصية أكد فيها أن تلك الأخبار التي تناولته هو وحلا شيحة ما هي إلا شائعة، خاصة أنه يتواجد بصحبة زوجته وأولاده في كاليفورنيا من أجل قضاء عطلة الصيف., ووصف رمضان حلا شيحة قائلا: ""حلا أخت عزيزة علي وصديقة مقربة لزوجتي""، لينفي بشكل قاطع كل ما قيل عن الثنائي خلال الأيام الماضية.",ANAD
5,,دبي.. مشاركة ألف فنان تشكيلي في جائزة الشيخة منال  ,"
التاسع على التوالي، أسدل الستار على جائزة الشيخة منال للفنانين الشباب، التي تهدف إلى تشجيع وإبراز الفنانين الشباب الواعدين في دولة الإمارات العربية المتحدة., وتلقى هذه الجائزة رواجاً بين طلاب الجامعات ذوي اختصاصات الفنون الجميلة والتصميم والوسائط المتعددة، فيما تحول أحد مراكز التسوق في مدينة دبي إلى معرض مفتوحة للفن التشكيلي., وتقدم جائزة الشيخة منال للفنانين الشباب، العروض الفنية والتشكيلية لعدد من المواهب الشباب في دولة الإمارات، في محاولة للوصول إلى أكبر شريحة ممكنة من الجمهور., إنها وجبة دسمة من الفن عالي المستوى، تقدمها جائزة الشيخ منال للفنانين الشباب في بادرة هي الأولى من نوعها في دولة الإمارات، حيث تحولت زوايا مركز التسوق إلى أكبر معرض مفتوح للفن التشكيلي، وعُرضت فيه أعمال فنية متنوعة من إبداع فنانين شباب، تمكنوا من إيصال فنهم إلى عموم الناس دون قيود., وتجلى التراث والثقافة العربية في معظم الأعمال التي عكست ثراء المستوى الفني للأعمال التي تم عرضها في وقت واحد., أما منظمو الجائزة، فهم يطمحون من خلالها إلى تمكين الفنانين الشباب من الوصول إلى الجميع دون حواجز والتعريف بفنهم خارج حدود القاعات والمعارض، إضافة إلى إعطائهم الفرصة للتفاعل مع المتلقي وجها لوجه., وأبدى الزوار  والسياح إعجابهم بالفكرة والأعمال الفنية المعروضة في معرض الهواء الطلق، وهي الأعمال التي ستزين الطرقات على مدار أسبوع كامل بفن راق مفعم بالحياة، يعد مرآة تعكس مدى التطور الثقافي والحضاري للمجتمع الإماراتي.,",ANAD
6,,ناهد السباعي تكشف أسباب انفصالها عن زوجها ,"
يزال الجمهور في حاجة إلى أجوبة تتعلق بالانفصال المفاجئ للفنانة المصرية #ناهد_السباعي عن زوجها رجل الأعمال #محمد_عبد_ربه., تلك الزيجة التي لم تستمر سوى لأيام قبل أن يلغى حفل الزفاف بشكل مفاجئ بعد أسبوع واحد فقط من عقد القران، وبعدها اختفت ناهد السباعي وامتنعت عن الحديث., إلا أن ظهورها في حفل ختام الدورة الثانية من مهرجان الجونة السينمائي، اضطرها إلى الكشف عن الانفصال وانتهاء الأمر، بعدما علقت قائلة: ""محصلش نصيب""., غير أنها قررت أن تفصح عن بعض الأمور في لقائها مع برنامج ""MBC Trending"" الذي يعرض عبر شاشة ""MBC 4""، حيث أكدت أنها اختفت طوال الفترة الماضية ولم تحضر حفل افتتاح المهرجان، حيث كانت ترغب في الاختفاء عن الأنظار خلال تلك الفترة., وعلقت على ما حدث في قصة زواجها قائلة: ""محصلش نصيب.. ساعات الواحد بيكتشف ان هو مكنش صح عشان كده بيتراجع عن قراراته""., وحول احتمال عودتها إلى زوجها مرة أخرى أجابت قائلة: ""لا""، لتعلق بعدها والدتها المنتجة ناهد فريد شوقي مؤكدة أن ابنتها اختارت التوقيت المناسب من أجل انهاء الأمر، مشيرة إلى أن ابنتها لديها حدس، وقررت أن تنهي القصة مبكرا., وأضافت المنتجة المصرية أنها ستمنح ابنتها عاما واحد فقط، وعليها أن تتزوج بعدها خاصة لأنها ترغب أن يكون لديها أحفاد.",ANAD
7,,"إليسا لابنة عاصي الحلاني: ""وعدت أمك"" والأخيرة: ""حلم وتحقق"" ","
حفلتها التي أحيتها الفنانة اللبنانية إليسا ضمن مهرجانات أعياد بيروت ليلة الجمعة في العاصمة اللبنانية، أشعلت المسرح بعد أن قدمت باقة من أجمل أغنياتها التي تفاعل معها الجمهور., وفي لفتة منها اعتبرها البعض ""جميلة""، وجهت نجمة ""أجمل إحساس"" نداء لابنة الفنان اللبناني عاصي الحلاني ماريتا التي كانت متواجدة في الحفل كي تشاركها الغناء على أنغام أغنيتها ""يا مرايتي""، وفعلا استجابت الحلاني لطلبها وقدمتا معا ديو غنائي أثار إعجاب الجمهور., وأثناء صعود ماريتا المسرح، قالت إليسا لها باللهجة اللبنانية ""وعدت أمك""، وهو ما شرحته ماريتا في تعليق لها على ما حدث في حوار صحافي بعد الحفلة أشارت فيه إلى أنها لم تكن تعلم بأي اتفاق بين إليسا ووالدتها، إلا أنها فهمت أن ما حدث كان مفاجأة مرتبة أحبتها كثيرا، وقالت: ""حلم وتحقق""., وحصد الفيديو بينها وبين إليسا آلاف الإعجابات على مواقع التواصل., يذكر أن حفل إليسا حضره عدد من الوجوه الفنية والإعلامية، وعبرت الفنانة عن سعادتها الغامرة للوقوف على مسرح أعياد بيروت للمرة السابعة على التوالي.",ANAD
8,,8 عروض أولى لأفضل إنتاجات السينما الخليجية في دبي ,"
""مهرجان دبي السينمائي الدولي""، اليوم، قائمة الأفلام التي ستُعرض ضمن برنامج ""أصوات خليجية""، الذي سيُلقي الضوء على أفضل أعمال السينما الخليجية التي تمّ إنتاجها هذا العام. ففي ظلّ التطوّر السريع الذي يشهده المجتمع السينمائي في دول الخليج العربي، ترتفع قيمة الأعمال، وقدرتها على توصيل رؤى لم تكن مطروقة، في السابق، حول الحياة والمجتمع الخليجيين., حول الأفلام التي ستُعرض ضمن برنامج ""أصوات خليجية""، قال مسعود أمرالله آل علي؛ المدير الفني لـ""مهرجان دبي السينمائي الدولي"": ""تزخر منطقة الخليج بالكثير من المواهب السينمائية، ونحن على تواصل دائم معهم، من خلال برنامج ""أصوات خليجية""، ومنصّات أخرى، مثل ""مهرجان الخليج السينمائي"". ومن هنا يمكننا القول أن التجربة الخليجية، تشهد نموّاً إيجابياً بقيادة مبدعين من مخضرمي وشباب المنطقة، ليقدّموا لنا أشكالاً متنوّعة من السرد السينمائي، وتأخذنا إلى منحنيات جديدة من الرؤى والأفكار""., ويأخذنا الفيلم ""حورية وعين"" للمخرجة السعودية شهد أمين إلى أجواء الإثارة والتشويق، لنكتشف مع حنان، التي تتجاوز العاشرة من عمرها، سرّ والدها، فهو يخطف الحوريات ويبيع أذيالهن في السوق. تمكّنت حنان، في أحد الأيام، من تخليص إحدى الحوريات وإعادتها إلى البحر، ومن وقتها لم تعد حنان قادرة على ذرف أي دمعة., تشارك نايلة الخاجة بفيلم ""ثلاثة"" الإماراتي، ويروي قصة خالد الذي لم يتجاوز التاسعة من عمره. هو من عائلة مستقرة، يشارك أخته الكبرى ريم ألعابه، وتربطهما علاقة وطيدة وسعيدة. تبدأ علامات الاضطراب النفسي والعنف بالظهور على خالد. وفي صباح أحد الأيام يصبح خالد تهديداً حقيقياً لحياة ريم., من الإمارات أيضاً، يشارك المخرج أحمد زين بأول فيلم روائي طويل من إخراجه بعنوان ""مزرعة يدّو""، الذي تدور أحداثه حول ياسر، وأصدقائه الذي يقررون قضاء إجازة نهاية الأسبوع في مزرعة جدته، التي تقع في وسط الصحراء حيث البساتين والأجواء الجميلة. ستكون إجازة ممتعة وسعيدة، ولكنها قد تبدو غريبة ومزعجة، عندما يواجهون بعض الأحداث الغامضة., من الكويت، يشارك المخرج فيصل الدويسان بفيلم ""حلم""، الذي يقترب من وسادة عامر لنطّلع على المنام الذي يراه كل ليلة، إذ تظهر زوجته رنا برفقة رجل آخر لا يعرفه. وفي بحثه عن معاني هذا المنام الغريب، يخلص إلى أن زوجته قد تكون على علاقة مع رجل آخر، ليبدأ بالتساؤل إن كان ما يراه في الحلم يحدث في الواقع., إلى بلاد الرافدين، والمخرجة العراقية؛ فرات الجميل بفيلم ""ليل بغداد""، الذي تدور أحداثه في عاصمة الرشيد، فعند الغروب يوقف سائق سيارة أجرة شاب سيارته أمام امرأة غامضة، ترتدي ثياباً تعود إلى بغداد في بدايات القرن الماضي. تطلب منه المرأة نقلها إلى أحد المقابر القديمة في بغداد، وانتظارها، ومن ثم إعادتها إلى المكان نفسه. تقدم له أجرةً عبارة عن جرس ذهبي صغير على شكل كرة، ثم يجد نفسه مجبوراً على العودة إلى الشارع نفسه، في اليوم التالي، لنقل المرأة إلى المقبرة من جديد. وبعد مشاوير عدة، تقع عيناه على شيء ما يفزعه، فيهرب، معتقداً أنه تخلّص من الرعب، لكن حقيقة الأمر أنه يبقى تحت سيطرتها، ومسجوناً في عبودية أبدية., من أجواء التشويق والرعب، إلى الدراما العائلية و""تشولو""، للمخرجة العُمانية مُزنة المسافر، وذلك الصبي داكن البشرة، البالغ 11 عاماً، الذي يلتقي بأخيه عبدالله، صاحب البشرة الفاتحة، حين يصل برفقة والدهما. ورغم الاختلاف بين الصبيّين، فإنهما يستمتعان بلقائهما للمرة الأولى., يتطرّق المخرج والكاتب العراقي رزكار حسين إلى انعكاسات الأوضاع الراهنة في بعض الدول العربية على المجتمع، من خلال فيلم ""رحل النهار""، الذي تدور أحداثه حول نسرين التي تعيش قصة حبّ في زمن الصعاب. قصة تتجاوز الحدود. نسرين هي اللون الجديد، والتغيّر الجميل., إلى قصة واقعية مع الممثلة والمخرجة آلاء شاكر، وفيلمها ""هذه ليلتي""، حيث الأحلام تُقتل في زمن الحروب، والعقول يُسلب منها ما تبقّى. ""ليلى"" فتاة في عمر الزهور، تواجه ما يحمله المجتمع من حقد وكراهية، و""عصام"" شاب يستغل الفوضى للانتقام لشهوته وتعصّباته الزائفة، إنها قصه حقيقية، لواقع مؤلم., ويُعدُّ ""مهرجان دبي السينمائي الدولي"" أحد أبرز وأكبر المهرجانات السينمائية في المنطقة، فقد أسهم منذ تأسيسه عام 2004، في أن يُشكّل منصة متكاملة لتشجيع أعمال صانعي الأفلام العرب، والمبدعين في القطاع السينمائي على المستوى العالمي، عبر دعم وتعزيز انتشار الحراك السينمائي في المنطقة. تقام الدورة العاشرة من المهرجان في الفترة من 6 إلى 14 ديسمبر 2013.,",ANAD
9,,وفاة المخرج المصري محمد خان عن عمر يناهز 74 عاماً ,"
المخرج المصري البارز محمد خان، بمستشفى بالمعادي صباح اليوم الثلاثاء إثر #أزمة_صحية., وُلد خان الذي يعد أحد أهم مخرجي السينما المصرية عام 1942 لأب باكستاني وأم #مصرية، ودرس خان #السينما في #بريطانيا في خمسينيات القرن الماضي، وأنهى دراسته عام 1963، وعاد للقاهرة، وبدأ مشواره السينمائي، إلا أنه لم يستطع الاستمرار كثيرا في #مصر فغادر إلى #لبنان ليعمل كمساعد #مخرج قبل أن يعود إلى #القاهرة مرة أخرى عام 77 ويستكمل مشواره في #مصر بفيلم ضربة #شمس.",ANAD
